right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
196,47,223,80,223,80,228,111,93,44,30,70,30,70,19,104,185,119,193,173,193,173,202,224,117,119,100,174,100,174,82,227
217,46,207,72,207,72,157,60,138,40,62,61,62,61,25,85,214,119,222,175,222,175,227,223,158,116,143,174,143,174,118,228
219,45,212,65,212,65,169,55,154,40,85,55,85,55,32,72,224,118,226,175,226,175,228,225,178,115,155,173,155,173,132,228
217,45,208,68,208,68,168,56,154,38,87,50,87,50,34,63,221,119,227,175,227,175,226,225,177,116,162,173,162,173,131,229
218,45,208,68,208,68,168,56,154,38,87,50,87,50,34,63,221,119,227,175,227,175,226,225,176,116,162,173,162,173,131,229
215,46,211,67,211,67,169,53,152,41,81,59,81,59,31,76,222,120,225,176,225,176,228,226,178,117,156,173,156,173,130,227
217,49,221,78,221,78,174,58,141,41,75,66,75,66,35,95,214,120,219,176,219,176,231,226,161,116,143,173,143,173,117,230
124,43,63,74,63,74,26,107,181,45,221,77,221,77,219,104,144,118,166,172,166,172,186,227,168,118,136,173,136,173,104,228
169,41,217,69,217,69,231,101,58,45,35,80,35,80,43,114,147,117,162,172,162,172,173,224,72,119,57,174,57,174,51,225
138,38,193,60,193,60,229,88,53,44,47,79,47,79,68,110,114,114,126,172,126,172,142,224,54,116,38,173,38,173,31,223
119,36,177,51,177,51,225,68,48,42,61,73,61,73,99,99,93,111,102,170,102,170,116,225,43,113,33,172,33,172,29,225
107,34,168,38,168,38,219,45,43,43,64,72,64,72,113,89,83,109,89,169,89,169,103,227,37,112,28,171,28,171,28,225
112,41,164,48,164,48,205,48,48,46,78,67,78,67,136,76,86,116,102,175,102,175,116,227,40,118,36,176,36,176,32,228
102,36,163,38,163,38,218,42,39,44,61,71,61,71,116,80,78,111,94,172,94,172,110,227,34,114,29,172,29,172,26,224
106,36,161,51,161,51,217,63,41,42,50,73,50,73,102,86,83,112,95,171,95,171,109,226,37,115,29,172,29,172,24,223
127,39,176,62,176,62,224,85,45,42,35,73,35,73,70,99,104,113,115,170,115,170,127,224,48,114,39,169,39,169,36,220
