right_upper_arm_start_x,right_upper_arm_start_y,right_upper_arm_end_x,right_upper_arm_end_y,right_forearm_start_x,right_forearm_start_y,right_forearm_end_x,right_forearm_end_y,left_upper_arm_start_x,left_upper_arm_start_y,left_upper_arm_end_x,left_upper_arm_end_y,left_forearm_start_x,left_forearm_start_y,left_forearm_end_x,left_forearm_end_y,right_quad_start_x,right_quad_start_y,right_quad_end_x,right_quad_end_y,right_calf_start_x,right_calf_start_y,right_calf_end_x,right_calf_end_y,left_quad_start_x,left_quad_start_y,left_quad_end_x,left_quad_end_y,left_calf_start_x,left_calf_start_y,left_calf_end_x,left_calf_end_y
188,44,230,74,230,74,183,95,68,48,41,83,41,83,25,115,168,113,183,169,183,169,197,219,86,113,79,170,79,170,84,222
169,44,223,73,223,73,209,99,42,47,14,80,14,80,19,112,144,113,158,169,158,169,178,220,58,113,47,170,47,170,55,222
150,44,213,70,213,70,229,100,34,49,17,82,17,82,38,109,125,112,139,168,139,168,157,218,47,114,41,170,41,170,53,221
135,43,196,69,196,69,230,101,30,48,18,80,18,80,57,102,106,111,119,166,119,166,137,219,36,113,34,168,34,168,47,219
122,44,185,69,185,69,229,97,26,47,19,77,19,77,68,94,92,112,106,166,106,166,123,219,29,114,30,169,30,169,45,219
119,43,180,68,180,68,229,92,26,47,18,76,18,76,71,85,90,112,100,167,100,167,118,220,29,114,27,170,27,170,42,219
123,43,182,69,182,69,228,95,26,47,16,76,16,76,72,87,95,112,105,166,105,166,121,219,31,114,30,169,30,169,44,219
131,44,187,71,187,71,230,99,32,46,12,75,12,75,63,91,106,111,115,166,115,166,130,219,41,113,38,170,38,170,48,221
146,46,193,74,193,74,226,105,42,47,11,76,11,76,47,96,124,112,136,168,136,168,147,221,55,114,50,170,50,170,55,221
177,45,222,75,222,75,235,107,55,47,18,76,18,76,38,100,161,113,166,170,166,170,170,222,80,114,71,172,71,172,70,223
207,46,229,74,229,74,219,94,101,46,45,74,45,74,21,100,205,113,205,170,205,170,210,220,134,114,112,171,112,171,107,222
211,46,229,74,229,74,208,91,113,46,60,73,60,73,27,101,212,114,208,173,208,173,206,221,147,114,128,173,128,173,120,224
211,46,224,75,224,75,205,89,117,47,64,77,64,77,26,103,214,115,211,173,211,173,205,220,152,115,136,173,136,173,127,224
212,46,222,75,222,75,207,90,122,48,71,79,71,79,29,104,215,116,215,173,215,173,212,220,155,117,137,173,137,173,127,224
211,46,227,75,227,75,212,93,116,48,67,79,67,79,29,105,212,115,211,173,211,173,205,219,149,115,134,174,134,174,125,224
199,47,227,79,227,79,229,111,81,48,36,82,36,82,24,113,189,114,196,170,196,170,200,219,110,115,93,171,93,171,89,221
167,46,208,76,208,76,230,106,48,49,13,82,13,82,18,112,152,114,160,171,160,171,169,220,72,115,57,173,57,173,55,222
152,45,203,72,203,72,232,102,39,47,18,81,18,81,48,110,131,113,142,169,142,169,151,220,55,114,48,171,48,171,49,223
140,43,194,70,194,70,230,95,36,46,22,79,22,79,68,104,115,111,126,168,126,168,136,220,45,113,40,170,40,170,43,222
130,42,186,66,186,66,230,88,33,46,24,77,24,77,85,95,103,110,117,166,117,166,126,219,37,112,37,169,37,169,40,221
121,42,173,64,173,64,222,85,26,47,22,78,22,78,90,86,96,112,110,165,110,165,114,218,32,115,30,169,30,169,38,219
120,43,175,65,175,65,228,83,26,48,21,80,21,80,88,88,97,112,108,167,108,167,114,219,34,115,31,171,31,171,37,221
122,44,178,66,178,66,230,87,28,47,16,79,16,79,75,93,101,112,112,166,112,166,118,220,38,114,36,170,36,170,40,222
128,45,183,69,183,69,228,94,31,48,13,80,13,80,59,98,111,112,122,168,122,168,125,221,47,115,46,172,46,172,45,224
147,46,198,74,198,74,233,103,43,49,14,81,14,81,43,105,135,113,143,170,143,170,144,220,67,115,63,174,63,174,57,225
192,47,224,75,224,75,234,105,83,49,33,80,33,80,22,112,192,114,196,172,196,172,190,222,121,116,107,174,107,174,95,223
203,47,233,79,233,79,215,103,99,48,47,78,47,78,21,107,205,115,208,173,208,173,201,222,136,115,126,173,126,173,114,223
205,46,228,78,228,78,191,95,107,46,55,76,55,76,23,105,210,113,213,171,213,171,200,221,147,112,141,171,141,171,126,224
207,47,226,79,226,79,167,86,111,46,60,76,60,76,23,103,215,115,216,173,216,173,202,221,151,113,145,172,145,172,131,224
206,46,227,75,227,75,169,80,108,47,60,78,60,78,23,105,214,115,216,175,216,175,202,222,150,115,143,174,143,174,132,225
196,46,234,72,234,72,189,85,91,49,48,81,48,81,20,111,192,112,204,167,204,167,200,220,122,113,120,168,120,168,114,223
185,46,238,71,238,71,202,87,60,51,27,85,27,85,12,117,179,114,181,169,181,169,178,217,96,115,88,173,88,173,85,224
158,45,228,66,228,66,229,88,35,51,14,85,14,85,18,114,148,113,157,168,157,168,159,219,67,115,58,171,58,171,58,224
135,44,204,65,204,65,234,91,28,51,15,85,15,85,22,111,119,112,131,168,131,168,141,219,48,115,41,170,41,170,45,221
118,43,184,64,184,64,225,90,24,48,18,78,18,78,41,96,98,112,112,166,112,166,127,219,35,114,31,168,31,168,38,219
108,43,177,62,177,62,227,86,21,47,18,76,18,76,37,96,86,113,100,167,100,167,117,218,28,115,27,170,27,170,38,220
109,44,180,64,180,64,228,88,20,48,18,77,18,77,37,95,87,113,99,167,99,167,117,219,28,115,27,170,27,170,40,221
114,44,182,66,182,66,227,90,23,49,14,79,14,79,27,101,93,114,104,169,104,169,122,219,33,116,31,172,31,172,40,221
122,44,188,68,188,68,228,96,23,49,12,83,12,83,18,108,102,114,115,169,115,169,128,219,38,116,36,172,36,172,41,222
138,45,201,72,201,72,230,106,34,50,18,84,18,84,14,111,123,113,136,168,136,168,147,219,55,115,52,171,52,171,54,223
188,46,229,75,229,75,211,102,75,50,39,79,39,79,18,103,183,115,195,171,195,171,194,220,109,116,103,173,103,173,100,222
195,46,231,73,231,73,195,96,87,49,48,76,48,76,18,101,200,114,208,170,208,170,201,219,128,115,120,171,120,171,113,222
196,45,222,74,222,74,166,93,94,48,57,75,57,75,22,99,204,114,211,168,211,168,204,219,137,114,128,170,128,170,121,223
197,45,219,74,219,74,144,87,97,47,54,74,54,74,17,98,208,112,212,166,212,166,204,217,140,112,131,169,131,169,124,224
195,45,220,73,220,73,152,84,97,47,58,75,58,75,22,100,207,113,211,168,211,168,202,218,141,113,132,170,132,170,125,226
200,46,232,74,232,74,170,88,97,50,62,82,62,82,24,108,206,114,212,169,212,169,205,219,137,115,128,172,128,172,124,226
195,46,232,72,232,72,192,91,87,51,52,84,52,84,22,112,195,116,204,170,204,170,202,220,123,117,112,173,112,173,110,225
186,45,233,71,233,71,209,95,72,51,40,86,40,86,21,119,182,114,187,167,187,167,191,219,106,116,90,170,90,170,92,224
164,45,225,69,225,69,230,94,47,51,26,86,26,86,18,118,155,114,166,169,166,169,176,219,76,116,62,172,62,172,66,224
140,44,206,65,206,65,233,90,30,50,16,85,16,85,27,116,125,113,135,169,135,169,147,219,53,116,44,172,44,172,49,223
114,42,179,62,179,62,229,84,23,48,23,80,23,80,67,98,91,112,104,167,104,167,118,220,31,114,28,169,28,169,39,218
113,43,175,63,175,63,227,87,18,49,20,79,20,79,77,89,87,113,99,168,99,168,110,219,24,116,23,171,23,171,38,218
115,43,178,64,178,64,229,86,19,49,21,78,21,78,82,84,88,113,98,167,98,167,109,218,25,116,21,170,21,170,37,217
116,43,177,66,177,66,226,89,21,48,19,78,19,78,81,85,88,113,96,166,96,166,110,218,24,115,20,169,20,169,36,217
117,44,179,67,179,67,230,88,26,48,20,79,20,79,78,90,90,113,98,167,98,167,113,220,30,115,26,170,26,170,37,219
141,45,192,73,192,73,230,103,39,48,13,80,13,80,43,104,121,113,132,168,132,168,139,220,54,115,50,172,50,172,49,224
160,45,208,74,208,74,231,107,48,48,15,80,15,80,27,107,148,113,157,170,157,170,160,219,74,115,65,174,65,174,64,223
197,46,228,78,228,78,229,109,83,47,36,78,36,78,22,108,188,114,195,170,195,170,196,219,112,115,96,172,96,172,91,221
209,46,230,75,230,75,220,96,106,47,53,78,53,78,24,105,206,115,209,171,209,171,207,220,138,115,121,172,121,172,112,223
213,46,226,73,226,73,210,90,119,48,66,78,66,78,26,105,214,116,213,173,213,173,210,221,152,116,133,174,133,174,124,225
210,46,218,71,218,71,203,83,123,49,71,80,71,80,27,104,214,115,217,172,217,172,211,221,156,116,140,172,140,172,130,223
209,46,221,72,221,72,201,84,119,49,68,80,68,80,28,106,212,115,215,170,215,170,213,220,151,116,134,171,134,171,126,224
211,47,229,76,229,76,207,93,110,49,57,82,57,82,24,110,209,114,214,169,214,169,212,219,142,115,125,171,125,171,117,224
207,47,235,81,235,81,220,110,94,48,49,82,49,82,25,114,198,115,204,171,204,171,205,219,124,116,112,173,112,173,108,223
183,46,221,77,221,77,233,107,60,49,24,83,24,83,24,115,169,114,177,170,177,170,184,220,87,115,71,171,71,171,69,220
142,46,193,74,193,74,232,101,37,49,19,82,19,82,61,110,115,115,124,169,124,169,138,221,46,116,40,172,40,172,43,224
129,43,184,66,184,66,227,90,34,46,24,77,24,77,78,101,99,110,113,166,113,166,126,220,36,112,35,169,35,169,39,220
123,43,179,64,179,64,227,83,33,47,30,79,30,79,96,94,96,111,107,166,107,166,117,220,34,113,32,169,32,169,38,221
120,43,173,62,173,62,223,86,28,49,29,78,29,78,97,86,93,114,106,167,106,167,116,220,31,117,27,172,27,172,38,221
118,43,173,62,173,62,225,86,25,48,26,77,26,77,98,84,92,114,103,167,103,167,114,220,30,117,24,171,24,171,37,220
123,45,179,69,179,69,228,90,27,49,18,79,18,79,80,92,101,114,108,168,108,168,116,221,38,116,33,171,33,171,40,222
129,46,183,72,183,72,227,98,31,49,16,81,16,81,66,98,110,114,119,168,119,168,126,222,46,116,44,172,44,172,46,224
145,46,198,74,198,74,233,106,37,50,15,83,15,83,57,107,130,114,140,168,140,168,140,220,61,117,59,173,59,173,59,225
169,48,219,77,219,77,234,106,46,51,17,84,17,84,36,113,163,115,166,172,166,172,161,220,82,117,75,173,75,173,71,223
189,47,229,77,229,77,220,107,64,50,22,83,22,83,25,114,188,115,190,172,190,172,187,222,105,116,88,172,88,172,84,221
202,48,226,79,226,79,176,99,95,49,50,81,50,81,23,111,205,115,210,170,210,170,204,221,135,115,123,170,123,170,116,222
204,47,226,79,226,79,156,90,100,48,56,81,56,81,22,109,211,115,212,172,212,172,201,221,142,114,129,171,129,171,121,224
202,46,224,75,224,75,152,83,100,48,54,81,54,81,20,106,210,113,214,171,214,171,202,221,142,113,131,171,131,171,123,225
201,45,223,74,223,74,146,82,98,48,56,81,56,81,23,107,208,112,214,169,214,169,205,220,139,112,130,170,130,170,122,226
200,47,227,74,227,74,147,83,88,50,47,82,47,82,21,109,202,114,213,169,213,169,206,220,126,114,124,170,124,170,120,225
185,47,227,74,227,74,158,92,52,53,30,88,30,88,20,115,178,114,191,166,191,166,194,218,87,115,75,169,75,169,81,223
175,47,226,74,226,74,170,95,32,51,15,85,15,85,37,109,159,116,174,170,174,170,181,221,62,117,54,172,54,172,67,222
164,46,226,72,226,72,202,97,28,50,16,80,16,80,45,99,144,114,159,168,159,168,173,221,52,115,43,169,43,169,61,221
153,45,219,73,219,73,233,102,26,48,10,79,10,79,26,100,128,114,151,168,151,168,167,220,42,115,38,168,38,168,52,219
136,45,200,74,200,74,227,106,25,49,10,82,10,82,16,111,108,114,131,168,131,168,147,220,34,116,38,169,38,169,48,220
133,46,196,75,196,75,228,106,26,48,11,80,11,80,17,108,104,114,119,169,119,169,137,220,33,115,33,169,33,169,45,218
140,45,205,74,205,74,229,110,27,49,14,78,14,78,25,99,115,113,132,169,132,169,148,219,40,114,38,170,38,170,49,219
156,45,220,75,220,75,226,107,29,50,13,83,13,83,27,107,134,114,150,169,150,169,163,220,50,116,45,171,45,171,55,222
173,46,225,78,225,78,201,107,42,49,17,82,17,82,16,111,156,115,166,170,166,170,178,220,67,116,57,171,57,171,66,223
188,46,232,78,232,78,189,104,65,49,34,80,34,80,19,106,174,114,188,170,188,170,192,220,92,115,87,172,87,172,88,224
200,46,219,76,219,76,141,91,91,47,48,76,48,76,20,100,203,114,208,170,208,170,206,219,128,114,116,171,116,171,113,223
199,45,209,75,209,75,126,86,97,46,53,75,53,75,22,100,208,113,210,170,210,170,207,218,137,113,123,172,123,172,118,225
199,45,207,73,207,73,127,82,101,46,56,74,56,74,22,99,209,113,212,170,212,170,208,218,142,112,129,172,129,172,122,225
200,45,210,74,210,74,131,81,103,46,57,75,57,75,22,100,208,113,213,169,213,169,209,218,141,112,130,171,130,171,123,225
204,45,221,73,221,73,143,85,102,48,59,79,59,79,23,104,207,114,215,171,215,171,210,219,137,115,127,173,127,173,123,226
195,46,235,74,235,74,186,94,85,49,52,83,52,83,24,112,184,114,197,170,197,170,204,219,110,114,102,171,102,171,104,223
182,46,226,75,226,75,203,101,60,49,28,82,28,82,23,114,164,115,176,171,176,171,188,221,82,116,71,172,71,172,75,222
160,45,219,71,219,71,227,99,37,49,12,81,12,81,19,110,140,114,152,169,152,169,169,219,58,116,45,171,45,171,54,222
140,43,200,71,200,71,227,104,33,48,15,81,15,81,40,107,117,112,130,167,130,167,144,218,45,114,41,170,41,170,49,220
123,44,181,69,181,69,223,97,30,47,11,78,11,78,44,97,99,111,112,165,112,165,127,219,38,113,37,168,37,168,46,219
120,44,176,68,176,68,225,92,30,46,10,75,10,75,55,85,95,113,106,166,106,166,120,219,37,115,37,170,37,170,47,219
126,44,183,69,183,69,228,95,33,46,9,74,9,74,54,85,100,112,111,166,111,166,125,219,40,114,39,169,39,169,49,219
134,44,187,70,187,70,228,99,39,46,11,74,11,74,51,89,110,111,119,165,119,165,133,219,48,113,46,169,46,169,54,220
150,46,200,74,200,74,229,107,46,47,13,76,13,76,54,98,128,111,138,166,138,166,150,219,60,113,58,169,58,169,66,221
175,46,217,77,217,77,233,108,60,47,19,75,19,75,43,100,156,112,164,168,164,168,166,219,80,113,78,170,78,170,76,222
207,46,233,77,233,77,214,95,90,45,28,73,28,73,21,102,202,114,204,171,204,171,210,219,124,114,108,172,108,172,103,223
207,45,230,73,230,73,214,89,100,46,43,74,43,74,22,104,207,114,208,171,208,171,209,219,136,114,118,173,118,173,111,224
210,46,225,75,225,75,210,92,108,46,54,76,54,76,25,105,213,115,212,175,212,175,207,221,146,115,128,174,128,174,117,224
209,47,224,76,224,76,214,93,113,48,59,80,59,80,26,107,212,115,214,172,214,172,212,221,148,116,129,172,129,172,119,224
210,47,228,77,228,77,215,91,111,48,59,81,59,81,25,108,212,115,215,173,215,173,212,221,146,116,129,173,129,173,119,223
193,46,228,76,228,76,233,105,84,49,40,82,40,82,22,112,187,113,194,168,194,168,199,219,115,114,102,170,102,170,100,221
159,46,205,75,205,75,229,105,54,49,19,81,19,81,20,113,148,114,159,169,159,169,170,219,78,116,69,171,69,171,68,222
146,46,201,72,201,72,233,102,40,51,15,83,15,83,28,112,130,116,139,170,139,170,147,220,61,118,56,173,56,173,56,224
131,45,193,69,193,69,235,94,31,51,14,84,14,84,45,110,113,116,124,170,124,170,133,220,47,118,44,174,44,174,46,223
117,43,181,62,181,62,231,83,26,48,15,80,15,80,61,102,98,111,111,167,111,167,122,219,38,114,37,170,37,170,40,221
111,42,172,61,172,61,226,82,21,48,15,79,15,79,74,90,93,112,102,165,102,165,112,217,33,116,28,170,28,170,38,220
109,43,168,63,168,63,223,84,19,48,15,80,15,80,76,89,94,113,103,166,103,166,111,218,34,117,29,171,29,171,38,220
113,44,172,66,172,66,226,86,22,50,17,82,17,82,76,90,98,114,108,167,108,167,113,220,38,117,36,172,36,172,37,223
118,44,175,69,175,69,223,94,25,49,16,81,16,81,77,91,107,112,116,166,116,166,119,219,46,115,43,172,43,172,43,223
142,44,198,73,198,73,231,102,36,49,15,80,15,80,72,92,132,111,142,166,142,166,140,219,62,114,59,172,59,172,55,224
190,46,225,77,225,77,213,105,63,48,21,80,21,80,64,104,191,114,199,169,199,169,190,219,106,116,93,172,93,172,87,223
196,45,222,76,222,76,172,99,73,47,25,79,25,79,36,104,202,112,204,167,204,167,194,219,119,113,102,170,102,170,92,223
198,46,210,78,210,78,128,92,80,46,23,76,23,76,17,105,207,113,205,168,205,168,190,220,126,113,112,169,112,169,98,223
199,47,194,75,194,75,126,85,94,47,39,77,39,77,23,102,207,115,209,171,209,171,198,221,136,115,123,172,123,172,111,223
196,45,188,70,188,70,118,82,97,48,49,80,49,80,20,105,209,114,213,172,213,172,200,222,141,114,129,171,129,171,117,222
196,42,202,64,202,64,120,75,92,48,50,80,50,80,22,109,208,111,212,170,212,170,199,221,137,112,128,171,128,171,116,224
200,43,215,66,215,66,127,76,84,50,44,84,44,84,20,112,207,113,214,167,214,167,203,220,127,114,117,169,117,169,110,224
196,44,229,68,229,68,137,81,61,51,28,85,28,85,21,115,198,112,203,169,203,169,196,219,106,114,90,172,90,172,85,225
181,45,227,70,227,70,153,89,40,52,15,85,15,85,23,115,176,114,186,169,186,169,192,219,79,116,62,173,62,173,62,225
172,43,228,68,228,68,182,90,33,51,15,82,15,82,44,104,158,113,171,168,171,168,180,220,64,116,51,172,51,172,56,223
146,42,215,66,215,66,229,96,25,50,24,80,24,80,49,98,128,112,149,168,149,168,162,221,46,115,42,169,42,169,49,219
138,43,209,70,209,70,229,101,21,49,18,80,18,80,42,98,118,113,138,168,138,168,151,220,40,115,37,169,37,169,46,219
137,43,208,69,208,69,230,101,20,49,15,82,15,82,34,101,116,112,135,167,135,167,148,219,39,114,35,169,35,169,46,218
141,44,213,71,213,71,232,103,21,50,13,83,13,83,29,103,122,113,139,167,139,167,153,219,42,115,36,170,36,170,48,220
151,45,217,72,217,72,231,101,23,51,3,83,3,83,24,102,131,114,150,168,150,168,163,219,45,116,40,172,40,172,50,222
174,46,226,75,226,75,213,100,48,49,16,82,16,82,20,113,162,115,172,169,172,169,184,219,77,116,70,171,70,171,76,222
